id,descripción_corta,SKU,name,inventario,description,precio_normal,etiquetas,categorias,images,image/url,images/0/url,images/1/url,images/2/url,images/3/url,images/4/url,images/5/url,images/6/url,image,images/7/url,images/8/url,images/9/url,images/10/url,images/11/url,images/12/url,images/13/url,images/14/url,images/15/url,images/16/url,images/17/url,images/18/url,images/19/url,images/20/url
10069242,"100% ORIGINAL

Perfume enviado en caja, envase y fragancia original de la marca.

Totalmente Sellado, códigos coinciden en caja y frasco

PERFUME EAU CONCENTREE 100% ORIGINAL

Casa: CARTIER

Cantidad: 200ml

Genero: UNISEX

Concentración: EAU DE TOILETTE",CO-10069242,Perfume Loción Eau Cartier Concentree Unisex 200ml Original,60,"100% ORIGINAL

Perfume enviado en caja, envase y fragancia original de la marca.

Totalmente Sellado, códigos coinciden en caja y frasco

PERFUME EAU CONCENTREE 100% ORIGINAL

Casa: CARTIER

Cantidad: 200ml

Genero: UNISEX

Concentración: EAU DE TOILETTE",318900,Bodega 204,Fragancias,"https://elenas-media.s3.amazonaws.com/10069242/Eaucartierconcentree.jpg,,,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10069242/Eaucartierconcentree.jpg,,,,,,,,,,,,,,,,,,,,,,
10029182,"Posee salida de vapor ajustable.
• Cuenta con un cabezal giratorio de 360° que le ayudará a limpiar en los rincones más inalcanzables.
• Es liviana, segura y fácil de manejar.
• Tiene 5 funciones en 1: Limpiador de pisos, vaporizador para alfombra vaporizador normal, limpiador de ventanas y vaporizador para prendas de vestir.


~ BENEFICIOS
• Limpiará su casa en cuestión de segundos.
• Eliminará sin químicos el 99% de microorganismos.
• Desinfectará cualquier tipo de superficies, sin usar detergentes.
• Convertirá el agua en vapor en solo 30 segundos.
• Es súper liviana y muy fácil de usar.
• Ahorrará tiempo en su casa.
• No es necesario el uso de químicos


INCLUYE


• 1 paño de micro fibra
• 1 limpiador de ventanas
• un paño coral
• 1 paño para prendas
• 1 paño desempolvador
• una boquilla para chorro
• una manguera de extensión
• 1 cepillo de nylon
• cepillo de alambre
• 1 medidor para el agua.",CO-10029182,Maquina Limpieza A Vapor Para Casa X5 Mop 5 En 1,20,"Para cualquier piso firme, la H2O Mop X5™ Lite con vapor a temperatura de 200 ° afloja y elimina la suciedad. En la misma pasada, el accesorio de micro fibra súper absorbente levanta la suciedad y la retiene – ¡y así barre, trapea y pule su piso al mismo tiempo!",157900,vivalizz,Otros / Varios,"https://elenas-media.s3.amazonaws.com/10029182/x5.jpg,,,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10029182/x5.jpg,,,,,,,,,,,,,,,,,,,,,,
10038162,"DOBLE FUNCIÓN: Cubre Pezón y Levanta Busto
\* REUTILIZABLE: úsalos hasta 20 a 40 veces depende del cuidado(Se recomienda guardar en un lugar seco y libre de polvo para prolongar la vida útil)
\* MATERIAL: Silicona, Hipoalergénicos, ultra suaves y confortables.
\* INVISIBLES: Cómodos y discretos.",CO-10038162,Brasier Invisible Push up Levanta Busto,26,"PUSH UP Adhesivos Siliconados ¡Levanta tu busto al Instante!


\* DOBLE FUNCIÓN: Cubre Pezón y Levanta Busto


\* REUTILIZABLE: úsalos hasta 20 a 40 veces depende del cuidado(Se recomienda guardar en un lugar seco y libre de polvo para prolongar la vida útil)


\* MATERIAL: Silicona, Hipoalergénicos, ultra suaves y confortables.


\* INVISIBLES: Cómodos y discretos. 

 \* IDEAL PARA PRENDAS de tiras, strapless, claras y oscuras


\* RECIBES: 1 Par


\* RECOMENDACIONES DE USO
No aplicar aceites, cremas o perfumes en el área antes de adherir.",24000,TODO PARA EL HOGAR,Tecnobelleza,"https://elenas-media.s3.amazonaws.com/10038162/D_NQ_NP_652415-MLM43419948700_092020-W.jpg,https://elenas-media.s3.amazonaws.com/10038162/4979390_1.jpg,https://elenas-media.s3.amazonaws.com/10038162/D_NQ_NP_715040-MCO31898091917_082019-O.jpg,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10038162/D_NQ_NP_652415-MLM43419948700_092020-W.jpg,https://elenas-media.s3.amazonaws.com/10038162/4979390_1.jpg,https://elenas-media.s3.amazonaws.com/10038162/D_NQ_NP_715040-MCO31898091917_082019-O.jpg,,,,,,,,,,,,,,,,,,,,
10069159,"_Producto no testeado en animales._

**Beneficios:**

- Limpia profundamente
- Restaura los niveles de hidratación
- No irrita los ojos.
-  Categoría: **Limpieza y tonificación**
Presentación: **120 g**
Tipo de piel: **Todos**
Zona: **Facial**
Aplicación: **Día y Noche**",CO-10069159,LECHE LIMPIADORA KALOE,12,"Limpia profundamente restaurando los niveles de hidratación. Contiene [extractos de caléndula](http://www.cosmeticosanamaria.com/calendula/), [aloe vera](http://www.cosmeticosanamaria.com/aloe-vera/), [aceite de almendra](http://www.cosmeticosanamaria.com/almendras/) y [ajonjolí](http://www.cosmeticosanamaria.com/aceite-de-ajonjoli/).

_Producto no testeado en animales._

**Beneficios:**

- Limpia profundamente
- Restaura los niveles de hidratación
- No irrita los ojos

**Modo de empleo:**

Aplica desde la base del cuello hasta la frente en movimientos ascendentes, masajea suavemente y retira con un algodón húmedo o pañito facial. Complementa la limpieza con [Tónico Hidratante](http://www.cosmeticosanamaria.com/productos/tonico-hidratante-kaloe/) o [Loción Astringente](http://www.cosmeticosanamaria.com/productos/locion-astringente-kaloe/) [KALOE](http://www.cosmeticosanamaria.com/marcas/kaloe/), según tu tipo de piel.",27997,Distribuidora AC,Maquillaje,"https://elenas-media.s3.amazonaws.com/10069159/ANA-MARIA-9.jpg,https://elenas-media.s3.amazonaws.com/10069159/EX2N4TcUcAUJtN2.jpg,,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10069159/ANA-MARIA-9.jpg,https://elenas-media.s3.amazonaws.com/10069159/EX2N4TcUcAUJtN2.jpg,,,,,,,,,,,,,,,,,,,,,
10026592,"**CARACTERISTICAS**

**MEDIDAS: **29\*2.5 cm 

**COLOR DISPONIBLE: **Fucsia

**MATERIAL: **Silicona",CO-10026592,BOLAS CHINAS ANALES JUGUETE SEXUAL,33,"**===============ll CEROTABU ll===============**

**==** **=======** **ll ENTREGAS EN TIEMPO RECORD ll==** **=======**

**ll PRODUCTO DISPONIBLE PARA DESPACHO INMEDIATO ll**

**-----------------------EMPAQUE 100% DISCRETO---------------------------**

Con el objetivo de mantener la privacidad de tu compra te garantizamos doble empaque sin ningún tipo de logos o características que delaten su contenido.

**Bolas chinas anales**

Bolas anales en silicona suaves el tamaño de las bolas aumenta progresivamente, para una dilatación del ano, con anillo extractor para fácil manipulación.

**Modo de Uso:**

1. Iniciador gradual explore y entrene de forma segura. Tiene material siliconado de la calidad más segura.
2. Inserción suave permite un deslizamiento cómodo y fácil debido a sus protuberancias y sin molestias debido a los contornos naturales y al material suave y sedoso.

SE ENTREGA EN BUEN ESTADO 100% NUEVO Y FUNCIONAL. EMPAQUE 100% DISCRETO.

**RECOMENDACIONES:**

• Usar lubricante a base de agua ya que otro tipo de lubricante puede deteriorar la superficie del producto.

• Limpiar con toy cleaner o jabón neutro antes y después de cada uso.

• Secar antes de proceder a guardar para conservar su superficie como nueva.

**--------¿** **Qué beneficios encontraré al usar este producto** **?----------**

Todos nuestros productos están diseñados para hacer de tu vida sexual más placentera y satisfactoria, cada uno de ellos busca solucionar, reemplazar, adicionar o aumentar los estímulos sexuales logrando obtener de ellos seguridad, creatividad y mucho placer.

**SE GARANTIZA QUE EL PRODUCTO SE ENTREGA EN BUEN ESTADO 100% NUEVO Y FUNCIONAL.**

DESPACHOS: Una vez realices la compra nos llegará un mensaje para imprimir la etiqueta o guía, inmediatamente se procederá a empacar el producto 100% discreto sin logos o símbolos garantizando una entrega discreta y desapercibida, posteriormente hacemos la entrega en Servientrega la transportadora oficial de elenas.

**TIEMPO DE ENTREGA: **Todos los paquetes se despachan antes de las 4 pm, las compras realizadas después de esta hora, serán entregados a la transportadora al día siguiente.

Los productos llegarán después de si salida del centro logístico en un período de 24 a 48 horas o según sea su destino.

Los sábados reciben en Servientrega o Deprisa antes de las 12 pm, después de esta hora las compras realizadas ya serían entregada el día lunes o el día martes en caso de ser día festivo.

**Mantenemos altos estándares de calidad y nos esforzamos por lograr la satisfacción del cliente al 100%, por lo cual la retroalimentación es muy importante. Te invitamos a dejar tu reseña y calificarnos de acuerdo a tu experiencia.**

**¡¡¡GRACIAS POR TU COMPRA!!!**",20000,CEROTABU,Vibradores y dildos,"https://elenas-media.s3.amazonaws.com/10026592/0001-15790852926_20210120_175047_0000.png,https://elenas-media.s3.amazonaws.com/10026592/0001-15790882005_20210120_175200_0000.png,https://elenas-media.s3.amazonaws.com/10026592/0001-15790874209_20210120_175138_0000.png,https://elenas-media.s3.amazonaws.com/10026592/0001-15790897298_20210120_175222_0000.png,https://elenas-media.s3.amazonaws.com/10026592/Tuspedidosseenvianendobleempaquetotalmenteselladosinlogosomarcasexternas,paranosotrosesmuyimportantetuprivacidad.(1)(1).jpg,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10026592/0001-15790852926_20210120_175047_0000.png,https://elenas-media.s3.amazonaws.com/10026592/0001-15790882005_20210120_175200_0000.png,https://elenas-media.s3.amazonaws.com/10026592/0001-15790874209_20210120_175138_0000.png,https://elenas-media.s3.amazonaws.com/10026592/0001-15790897298_20210120_175222_0000.png,"https://elenas-media.s3.amazonaws.com/10026592/Tuspedidosseenvianendobleempaquetotalmenteselladosinlogosomarcasexternas,paranosotrosesmuyimportantetuprivacidad.(1)(1).jpg",,,,,,,,,,,,,,,,,,
10037973,Talla L: Para mujeres con hijos con parto natural ó mayores de 26 años,CO-10037973,Copa Menstrual Talla L + Vaso Esterilizador,119,"Copa Menstrual de silicona Medica Hipoalergenica

Talla L: Para mujeres con hijos con parto natural ó mayores de 26 años

 Talla L, Diametro: 40mm, longitud copa: 60mm, longitud tira: 25mm",21990,KATAX STORE,Cuidado personal,"https://elenas-media.s3.amazonaws.com/10037973/copa-menstrual-aneer-solidaria-l-s-incluye-su-esterilizador-D_NQ_NP_191215-MLV25146115350_112016-F.jpg,https://elenas-media.s3.amazonaws.com/10037973/maxresdefault.jpg,,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10037973/copa-menstrual-aneer-solidaria-l-s-incluye-su-esterilizador-D_NQ_NP_191215-MLV25146115350_112016-F.jpg,https://elenas-media.s3.amazonaws.com/10037973/maxresdefault.jpg,,,,,,,,,,,,,,,,,,,,,
10070265,"**CUIDADOS BASICOS DE LOS ACCESORIOS**

· Evita la humedad.

· Evita contacto con productos químicos como cremas o perfumes.

· Límpialos con una franelita para lentes sin productos.

· Guárdalos siempre por separado

· No duermas ni te bañes con ellos.",CO-10070265,Juego de Collar y Aretes en Acero Inoxidable - MA0107- INCLUYE CAJA DE LUJO,15,"Juego de Aretes y Collar en Acero Inoxidable

Caja de Lujo de Obsequio",22000,Mara Distribuidora,Bisutería,"https://elenas-media.s3.amazonaws.com/10070265/MA107.JPEG,,,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10070265/MA107.JPEG,,,,,,,,,,,,,,,,,,,,,,
10062799,"Hecho de material pp grueso de alta calidad, una combinación perfecta con alta capacidad de carga de hasta 5 kg. Especificaciones: Tipo: Colgador de ahorro de espacio Material: Plástico Tamaño: 33 cm x 18 cm x 1,6 cm/12,87 """"x 7,02"""" x 0,63""",CO-10062799,GANCHO MULTIFUNCIONAL PARA ROPA ROSADO,101,"""Los ganchos pueden girar 360 grados libremente, y la boca del gancho se puede aplicar a la gama de varillas de armario. 9 agujeros para el uso del organizador del armario, ahorra espacio cuando se usa verticalmente. 3 hebillas en el camino interior para atrapar el gancho y hacerlo inmóvil. Por lo que es muy estable y difícil de caer.


Ahorro de espacio: Cada percha plegable puede contener más de 9 prendas horizontalmente o verticalmente para ahorrar el 80% del espacio del armario y mantener la ropa limpia, sin arrugas. Las perchas de ropa pueden ayudarte a organizar tu armario. Perfecto para cualquier dormitorio y apartamento con espacio limitado.


​",18899.58,Maju,Electrodomesticos hogar,"https://elenas-media.s3.amazonaws.com/10062799/H795f5dc06fde4d48aa816a729b8b5f8b4.jpg,https://elenas-media.s3.amazonaws.com/10062799/H36145c50d2f348309f3bc20ca1d6dd8fU.jpg,,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10062799/H795f5dc06fde4d48aa816a729b8b5f8b4.jpg,https://elenas-media.s3.amazonaws.com/10062799/H36145c50d2f348309f3bc20ca1d6dd8fU.jpg,,,,,,,,,,,,,,,,,,,,,
10024600,"ESPECIFICACIONES:

Gráficos impactantes Poly de juegos integrados Ligera y fácil de usar

**incluye: consola y casste poly**",CO-10024600,Consola Videojuegos Poly Station Ps1 + caset poly,978,"Es una consola que se conecta al televisor, viene integrada con juegos unos repetidos con lo mejor de su género, donde incluyen clásicos como lo son Super Mario Bros, Duck hunt, javalin , Contra2, Fórmula 1 entre unos ojuegos más que te harán recordar la maravillosa época que de niños disfrutamos jugando y que ahora los podemos tener al alcance de nuestras manos. Para jugar en familia. 

incluye mas de 50 juegos,

las pistola solo funciona en televisores antiguos, para led y smart tv no funciona",45400,Tecnonnek,Videojuegos,"https://elenas-media.s3.amazonaws.com/10024600/consola-poly-one-36-juegos-tv-supermario-multijuegos-2-controles.png,https://elenas-media.s3.amazonaws.com/10024600/case.png,https://elenas-media.s3.amazonaws.com/10024600/Screenshot_38.jpg,,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10024600/consola-poly-one-36-juegos-tv-supermario-multijuegos-2-controles.png,https://elenas-media.s3.amazonaws.com/10024600/case.png,https://elenas-media.s3.amazonaws.com/10024600/Screenshot_38.jpg,,,,,,,,,,,,,,,,,,,,
10061234,"\*ESPECIFICACIONES
\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_


Medidas PLATO:
-28cm de largo
-16cm de ancho
-10cm de alto


Medidas DISPENSADOR:
-32cm de largo
-50cm de circunferencia


-Material libre de BPA, PVC, ni ftalato.
-No apto para microondas.
-Capacidad: agua 
-Flujo de agua


\*CONTENIDO DEL EMPAQUE:
\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_


-1 Tazon Perro 
-1 dispensador de agua
-1 tapa de dispensador",CO-10061234,Dispensador Azul Bebedero Perro Flujo Agua Bebedero Caninos,1,"Este bebedero para perros está especialmente diseñado para controlar y mejorar la alimentación de ellos, ya que ayuda a distribuir el agua con su sistema de flujo, y a que la digestión se procese mejor.


Ademas tiene una base antideslizante que ayuda a que el plato no se mueva cuando el animal este bebiendo, es muy facil de limpiar y rellenar. Como complemento, es un divertido comedero que hará que tu mascota se divierta mientras se alimenta y lo hará más feliz!",29900,MyM Tecnologic,Para perros,"https://elenas-media.s3.amazonaws.com/10061234/3.jpg,https://elenas-media.s3.amazonaws.com/10061234/4.jpg,https://elenas-media.s3.amazonaws.com/10061234/5.jpg,https://elenas-media.s3.amazonaws.com/10061234/6.jpg,,,,,,,,,,,,,,,,,,,",https://elenas-media.s3.amazonaws.com/10061234/3.jpg,https://elenas-media.s3.amazonaws.com/10061234/4.jpg,https://elenas-media.s3.amazonaws.com/10061234/5.jpg,https://elenas-media.s3.amazonaws.com/10061234/6.jpg,,,,,,,,,,,,,,,,,,,
